Year,Units,Employment status,Industry,Sex,Age group,Value
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,7.5
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.2
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,0.9
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,2
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.5
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,5
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.6
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.9
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,1.9
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,10.2
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.3
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.8
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,15.8
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.6
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,0.8
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,2.9
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.7
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,13.7
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.9
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.9
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,3.3
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,18.5
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.1
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.8
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,11.5
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,8.6
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,1
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,3.2
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.8
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8.7
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,9.2
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,3.3
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,14.7
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.9
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.7
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,11.9
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.3
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,1.1
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,2.5
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.7
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,6.6
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.6
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.1
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,2.8
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,18.1
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.4
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.8
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,12.8
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Mining and quarrying,,,2.3
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,1.1
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,3
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.7
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,2.4
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.2
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,3.6
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,19
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,1.7
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,10.5
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,0.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,3.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,,,,0.7
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,2.5
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Employees,Construction,,,4.6
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,,,,1.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,21.3
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.2
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.5
2002,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,,,,0.8
2002,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,9.3
2002,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Manufacturing,,,1.2
