Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Regional trade agreements (RTAs) (33130),,,,1407.84
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Multilateral trade negotiations (33140),,,,4106.13
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade-related adjustment (33150),,,,0
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade education/training (33181),,,,493.92
2014,Bilateral,Production sectors (300),,Tourism (332),,,,,11.87
2014,Bilateral,Production sectors (300),,Tourism (332),Tourism policy and administrative management (33210),,,,11.87
2014,Bilateral,Multisector or cross-cutting (400),,,,,,,951663.94
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,,,,,338152.93
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental policy and administrative management (41010),,,,309931.69
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Biosphere protection (41020),,,,50.78
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Bio-diversity (41030),,,,6766.66
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Site preservation (41040),,,,19.11
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Flood prevention/control (41050),,,,450
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental education/ training (41081),,,,243.5
2014,Bilateral,Multisector or cross-cutting (400),General environmental protection (410),,Environmental research (41082),,,,20691.19
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,,,,,613511.01
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Multisector aid (43010),,,,377511.77
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Urban development and management (43030),,,,24932.24
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Rural development (43040),,,,101943.48
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Non-agricultural alternative development (43050),,,,1159.33
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Multisector education/training (43081),,,,0
2014,Bilateral,Multisector or cross-cutting (400),Other multisector (430),,Research/scientific institutions (43082),,,,107964.2
2014,Bilateral,Commodity aid and general programme assistance (500),,,,,,,76416.05
2014,Bilateral,Commodity aid and general programme assistance (500),General budget support (510),,,,,,52635.29
2014,Bilateral,Commodity aid and general programme assistance (500),General budget support (510),,General budget support-related aid (51010),,,,52635.29
2014,Bilateral,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,,,,,23780.76
2014,Bilateral,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,Food aid/Food security programmes (52010),,,,23780.76
2014,Bilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,,,,,0
2014,Bilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (capital goods) (53030),,,,0
2014,Bilateral,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (commodities) (53040),,,,0
2014,Bilateral,Debt relief (600),,,,,,,3232.48
2014,Bilateral,Debt relief (600),,,Action relating to debt (60010),,,,3232.48
2014,Bilateral,Debt relief (600),,,Debt forgiveness (60020),,,,0
2014,Bilateral,Debt relief (600),,,Relief of multilateral debt (60030),,,,0
2014,Bilateral,Debt relief (600),,,Rescheduling and refinancing (60040),,,,0
2014,Bilateral,Debt relief (600),,,Debt for development swap (60061),,,,0
2014,Bilateral,Debt relief (600),,,Other debt swap (60062),,,,0
2014,Bilateral,Debt relief (600),,,Debt buy-back (60063),,,,0
2014,Bilateral,Humanitarian aid (700),,,,,,,1118752.2
2014,Bilateral,Humanitarian aid (700),Emergency response (720),,,,,,1042819.28
2014,Bilateral,Humanitarian aid (700),Emergency response (720),,Material relief assistance and services (72010),,,,623522.7
2014,Bilateral,Humanitarian aid (700),Emergency response (720),,Emergency food aid (72040),,,,212400.44
2014,Bilateral,Humanitarian aid (700),Emergency response (720),,Relief co-ordination; protection and support services (72050),,,,206896.14
2014,Bilateral,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,,,,,57308.4
2014,Bilateral,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,Reconstruction relief and rehabilitation (73010),,,,57308.4
2014,Bilateral,Humanitarian aid (700),Disaster prevention and preparedness (740),,,,,,18624.52
2014,Bilateral,Humanitarian aid (700),Disaster prevention and preparedness (740),,Disaster prevention and preparedness (74010),,,,18624.52
2014,Bilateral,Administrative costs of donors (910),,,,,,,372674.74
2014,Bilateral,Administrative costs of donors (910),,,Administrative costs (non-sector allocable) (91010),,,,372674.74
2014,Bilateral,Refugees in donor countries (930),,,,,,,134791.2
2014,Bilateral,Refugees in donor countries (930),,,Refugees in donor countries (non-sector allocable) (93010),,,,134791.2
2014,Bilateral,Unallocated or unspecified (998),,,,,,,113969.85
2014,Bilateral,Unallocated or unspecified (998),,,Sectors not specified (99810),,,,111826.28
2014,Bilateral,Unallocated or unspecified (998),,,Promotion of development awareness (non-sector allocable) (99820),,,,2143.57
2014,Multilateral,,,,,,,,4877981.31
2014,Multilateral,Social infrastructure and services (100),,,,,,,1823008.6
2014,Multilateral,Social infrastructure and services (100),Education (110),,,,,,281958.14
2014,Multilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",,,,,67203.63
2014,Multilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education policy and administrative management (11110),,,,44595.68
2014,Multilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education facilities and training (11120),,,,15263.57
2014,Multilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Teacher training (11130),,,,5624.17
2014,Multilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Educational research (11182),,,,1720.21
2014,Multilateral,Social infrastructure and services (100),Education (110),Basic education (112),,,,,102544.11
2014,Multilateral,Social infrastructure and services (100),Education (110),Basic education (112),Primary education (11220),,,,89850.06
2014,Multilateral,Social infrastructure and services (100),Education (110),Basic education (112),Basic life skills for youth and adults (11230),,,,6202.33
2014,Multilateral,Social infrastructure and services (100),Education (110),Basic education (112),Early childhood education (11240),,,,6491.72
2014,Multilateral,Social infrastructure and services (100),Education (110),Secondary education (113),,,,,72135.57
2014,Multilateral,Social infrastructure and services (100),Education (110),Secondary education (113),Secondary education (11320),,,,52364.97
2014,Multilateral,Social infrastructure and services (100),Education (110),Secondary education (113),Vocational training (11330),,,,19770.6
2014,Multilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),,,,,40074.84
2014,Multilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),Higher education (11420),,,,38834.62
2014,Multilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),Advanced technical and managerial training (11430),,,,1240.22
2014,Multilateral,Social infrastructure and services (100),Health (120),,,,,,566420.8
2014,Multilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",,,,,66708.76
2014,Multilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Health policy and administrative management (12110),,,,58110.47
2014,Multilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical education/training (12181),,,,1982.48
2014,Multilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical research (12182),,,,1567.79
2014,Multilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical services (12191),,,,5048.02
2014,Multilateral,Social infrastructure and services (100),Health (120),Basic health (122),,,,,499712.05
2014,Multilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic health care (12220),,,,281484.24
2014,Multilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic health infrastructure (12230),,,,6107.57
2014,Multilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic nutrition (12240),,,,21876.53
2014,Multilateral,Social infrastructure and services (100),Health (120),Basic health (122),Infectious disease control (12250),,,,50037.01
