Year,Sex,Age,Occupation category,Occupation sub-category,Value
2013,Female,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,10.77
2013,Female,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,11.15
2013,Female,18 to 21,Skilled trades occupations,,7.66
2013,Female,22 to 29,Skilled trades occupations,,8.96
2013,Female,30 to 39,Skilled trades occupations,,10.8
2013,Female,30 to 49,Skilled trades occupations,,9.42
2013,Female,50 to 59,Skilled trades occupations,,9.34
2013,Female,60 and over,Skilled trades occupations,,8.56
2013,Female,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,8.06
2013,Female,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,8.46
2013,Female,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,10.14
2013,Female,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,10.55
2013,Female,60 and over,Skilled trades occupations,Skilled agricultural and related trades,8.39
2013,Female,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",12
2013,Female,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.6
2013,Female,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",16.8
2013,Female,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.95
2013,Female,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.91
2013,Female,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.66
2013,Female,22 to 29,Skilled trades occupations,Skilled construction and building trades,9.39
2013,Female,30 to 39,Skilled trades occupations,Skilled construction and building trades,10.43
2013,Female,30 to 49,Skilled trades occupations,Skilled construction and building trades,12.29
2013,Female,50 to 59,Skilled trades occupations,Skilled construction and building trades,9.3
2013,Female,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",7.1
2013,Female,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",8.12
2013,Female,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",8.91
2013,Female,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",8.81
2013,Female,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",8.91
2013,Female,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",8.39
2013,Female,18 to 21,"Caring, leisure and other service occupations",,7.21
2013,Female,22 to 29,"Caring, leisure and other service occupations",,8.32
2013,Female,30 to 39,"Caring, leisure and other service occupations",,9.22
2013,Female,30 to 49,"Caring, leisure and other service occupations",,9.39
2013,Female,50 to 59,"Caring, leisure and other service occupations",,9.55
2013,Female,60 and over,"Caring, leisure and other service occupations",,9.15
2013,Female,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,7.27
2013,Female,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.31
2013,Female,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,9.07
2013,Female,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,9.21
2013,Female,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,9.47
2013,Female,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,9.23
2013,Female,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",6.97
2013,Female,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.36
2013,Female,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.32
2013,Female,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.94
2013,Female,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.26
2013,Female,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.7
2013,Female,18 to 21,Sales and customer service occupations,,6.92
2013,Female,22 to 29,Sales and customer service occupations,,8.24
2013,Female,30 to 39,Sales and customer service occupations,,9.41
2013,Female,30 to 49,Sales and customer service occupations,,9.07
2013,Female,50 to 59,Sales and customer service occupations,,8.61
2013,Female,60 and over,Sales and customer service occupations,,7.8
2013,Female,18 to 21,Sales and customer service occupations,Sales occupations,6.78
2013,Female,22 to 29,Sales and customer service occupations,Sales occupations,7.79
2013,Female,30 to 39,Sales and customer service occupations,Sales occupations,8.52
2013,Female,30 to 49,Sales and customer service occupations,Sales occupations,8.19
2013,Female,50 to 59,Sales and customer service occupations,Sales occupations,7.79
2013,Female,60 and over,Sales and customer service occupations,Sales occupations,7.51
2013,Female,18 to 21,Sales and customer service occupations,Customer service occupations,7.55
2013,Female,22 to 29,Sales and customer service occupations,Customer service occupations,9.25
2013,Female,30 to 39,Sales and customer service occupations,Customer service occupations,11
2013,Female,30 to 49,Sales and customer service occupations,Customer service occupations,11.12
2013,Female,50 to 59,Sales and customer service occupations,Customer service occupations,10.69
2013,Female,60 and over,Sales and customer service occupations,Customer service occupations,9.18
2013,Female,18 to 21,"Process, plant and machine operatives",,7.02
2013,Female,22 to 29,"Process, plant and machine operatives",,8.49
2013,Female,30 to 39,"Process, plant and machine operatives",,9.11
2013,Female,30 to 49,"Process, plant and machine operatives",,9.01
2013,Female,50 to 59,"Process, plant and machine operatives",,8.91
2013,Female,60 and over,"Process, plant and machine operatives",,8.12
2013,Female,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",7.06
2013,Female,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",8.36
2013,Female,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",8.75
2013,Female,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",8.73
2013,Female,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",8.49
2013,Female,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",7.95
2013,Female,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,6.74
2013,Female,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.71
2013,Female,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.91
2013,Female,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.15
2013,Female,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.76
2013,Female,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.02
2013,Female,18 to 21,Elementary occupations,,6.46
2013,Female,22 to 29,Elementary occupations,,7.35
2013,Female,30 to 39,Elementary occupations,,7.87
2013,Female,30 to 49,Elementary occupations,,7.77
2013,Female,50 to 59,Elementary occupations,,7.81
2013,Female,60 and over,Elementary occupations,,7.57
